0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/js/jquery.ajaxchimp.min.js HTTP/1.1" 200 4820
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/js/mail-script.js HTTP/1.1" 200 1230
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/img/blog/home-blog2.jpg HTTP/1.1" 200 124433
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/js/main.js HTTP/1.1" 200 6170
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/img/service/support-img.jpg HTTP/1.1" 200 177267
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/img/icon/form.png HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/img/logo/logo2_footer.png HTTP/1.1" 200 3468
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:25 +0700] "GET /PBL3/assets/img/blog/home-blog1.jpg HTTP/1.1" 200 138295
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:26 +0700] "GET /PBL3/assets/img/gallery/how-applybg.png HTTP/1.1" 200 199917
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:26 +0700] "GET /PBL3/assets/img/hero/h1_hero.jpg HTTP/1.1" 200 491669
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:26 +0700] "GET /PBL3/assets/img/gallery/cv_bg.jpg HTTP/1.1" 200 553944
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:26 +0700] "GET /PBL3/site.webmanifest HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:28 +0700] "GET /PBL3/login HTTP/1.1" 200 12412
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:28 +0700] "GET /PBL3/login-project/vendor/jquery/jquery.min.js HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:28 +0700] "GET /PBL3/login-project/js/main.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:28 +0700] "GET /PBL3/login-project/css/style.css HTTP/1.1" 200 19686
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:28 +0700] "GET /PBL3/login-project/images/signin-image.jpg HTTP/1.1" 200 21118
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:28 +0700] "GET /PBL3/login-project/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 200 70815
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:28 +0700] "GET /PBL3/login-project/fonts/material-icon/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 200 38384
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:29 +0700] "GET /PBL3/site.webmanifest HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:31 +0700] "GET /PBL3/register HTTP/1.1" 200 12666
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:31 +0700] "GET /PBL3/login-project/vendor/jquery/jquery.min.js HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:31 +0700] "GET /PBL3/login-project/images/signup-image.jpg HTTP/1.1" 200 20463
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:27:31 +0700] "GET /PBL3/site.webmanifest HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:28:09 +0700] "GET /PBL3/assets/fonts/themify.woff?-fvbane HTTP/1.1" 200 56108
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:28:12 +0700] "POST /PBL3/register HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:28:12 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:28:29 +0700] "GET /PBL3/register HTTP/1.1" 200 12666
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:28:29 +0700] "GET /PBL3/login-project/vendor/jquery/jquery.min.js HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:28:30 +0700] "GET /PBL3/site.webmanifest HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:28:45 +0700] "GET /PBL3/login HTTP/1.1" 200 12412
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:28:45 +0700] "GET /PBL3/login-project/vendor/jquery/jquery.min.js HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:28:45 +0700] "GET /PBL3/site.webmanifest HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:30:20 +0700] "GET /PBL3/register HTTP/1.1" 200 12666
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:30:20 +0700] "GET /PBL3/login-project/vendor/jquery/jquery.min.js HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:30:20 +0700] "GET /PBL3/site.webmanifest HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [07/Apr/2024:23:30:43 +0700] "POST /PBL3/register HTTP/1.1" 200 -
